EntryID,taxonomyID,roothog_id,umap_x,umap_y
C9K074,9606,0.0,16.103252,10.622234
C9JEN1,9606,780264.0,12.122553,7.082342
M0R307,9606,802823.0,17.771965,9.962352
E9PQV1,9606,729901.0,13.761985,8.339557
P10911,9606,789596.0,11.782006,9.950861
D6RH20,9606,752383.0,11.438022,10.111751
H0Y4R1,9606,1027312.0,7.8190203,12.887588
Q96PU4,9606,778401.0,11.989642,10.13892
A8MTF4,9606,0.0,13.66466,8.206838
A0A087X1S6,9606,0.0,11.794007,9.64886
Q96AY4,9606,789525.0,11.736992,9.090851
Q9H5Q4,9606,756021.0,11.305272,9.56934
C9JQU7,9606,780310.0,15.844436,10.392643
P36578,9606,802082.0,9.519584,13.872075
Q5SYW2,9606,0.0,13.280916,8.60583
Q9P016,9606,805527.0,10.309077,9.227395
Q86VD1,9606,729705.0,11.907793,9.573532
Q7Z7B1,9606,803525.0,8.968068,10.334364
A0A024R6G5,9606,,16.299517,10.826906
F8VZP4,9606,0.0,13.893779,9.650586
Q8TEV9,9606,759288.0,12.240652,8.919584
P22760,9606,794011.0,10.778103,7.8729568
F5H1C8,9606,0.0,11.88867,8.180399
Q6EIG7,9606,732096.0,11.913304,6.2095723
B1ALM4,9606,0.0,10.075103,8.11124
O14981,9606,803301.0,11.652495,10.073608
Q15761,9606,746380.0,17.91821,13.327627
Q6XLA1,9606,,17.736422,10.058517
K7EKE6,9606,0.0,6.8142233,12.79371
C9JT45,9606,804892.0,7.835297,11.845056
A0A2R8YD50,9606,0.0,7.8423243,11.624073
H0Y875,9606,0.0,9.074359,8.334554
Q2M2Z5,9606,736653.0,13.650313,8.684688
Q9Y5G9,9606,763064.0,17.99998,10.993698
Q9C0I3,9606,746570.0,13.44039,8.63048
A0A348FV93,9606,0.0,12.358525,8.456029
Q70YC4,9606,737959.0,17.844282,9.964381
Q96N19,9606,793177.0,11.453232,8.188832
Q9BYN8,9606,759282.0,10.915417,12.880433
Q15369,9606,804618.0,4.2927556,7.632972
A2AAZ6,9606,,11.827845,6.390127
O15033,9606,789350.0,10.056757,8.856938
Q12959,9606,795444.0,9.04544,7.983166
Q9P0E6,9606,802436.0,16.44456,10.697528
O14497,9606,761121.0,13.8474655,9.461362
H0Y931,9606,0.0,12.167462,9.729157
Q92618,9606,747291.0,14.24801,8.589288
A0A0A0MT09,9606,778635.0,15.760047,10.303749
P30046,9606,756325.0,8.210071,12.015535
O95661,9606,727135.0,5.82706,18.587505
Q13153,9606,792940.0,11.337049,10.56186
O76009,9606,736545.0,-0.7139266,14.938414
Q99758,9606,802754.0,10.854928,8.414534
A0A3B3IRQ9,9606,0.0,10.500118,8.637356
E9PFF5,9606,0.0,11.233036,9.226745
Q5T8R3,9606,793048.0,7.8800106,8.811393
J9JIE5,9606,0.0,13.95053,8.584157
A4QPB0,9606,793040.0,9.613622,8.840674
P08861,9606,794303.0,14.318203,15.122281
Q5VVJ2,9606,785226.0,10.799078,8.484747
Q13432,9606,801589.0,14.71113,10.549367
Q96LR4,9606,748254.0,12.263967,6.8481107
H3BLT9,9606,0.0,11.869315,8.328557
O95833,9606,805789.0,10.308132,11.622298
A0A087WTI6,9606,0.0,14.405559,8.965922
Q96DT7,9606,748895.0,14.092551,8.8518915
Q9BPZ3,9606,758670.0,14.38396,7.5436726
P10646,9606,739685.0,12.339172,7.2480454
Q9ULD5,9606,732597.0,13.769359,8.587032
Q96T53,9606,747210.0,10.365964,8.535311
B4DHE8,9606,0.0,13.014769,10.096756
A0A0A0MSK4,9606,778536.0,9.833352,7.8938684
Q7RTP6,9606,759669.0,9.907333,8.014813
Q9ULV8,9606,795465.0,10.633952,8.083591
A0A5H1ZRP5,9606,0.0,13.166728,14.199143
Q13501,9606,784190.0,12.586595,8.824094
Q86WV2,9606,0.0,10.664041,13.111346
Q8IZF3,9606,737081.0,10.297722,7.804699
Q99697,9606,761491.0,14.293678,8.801512
P98194,9606,793026.0,8.234326,9.927446
Q05CH4,9606,,12.050912,8.147422
Q9H6T3,9606,778200.0,11.68962,9.964095
O15090,9606,745846.0,14.196916,8.904519
A0A024R7P2,9606,,9.897057,7.979659
O75078,9606,756321.0,9.396714,7.3375297
Q6UWB4,9606,726668.0,14.254807,15.006526
A0A0A0MRW6,9606,0.0,10.548002,8.226986
P0C5J1,9606,814974.0,10.264061,8.903015
A0A087X0H5,9606,0.0,11.982027,6.311694
P49917,9606,802437.0,10.252393,10.2159605
Q86WI3,9606,751374.0,11.812022,8.255914
Q8N9I8,9606,,13.750821,8.311778
A0A2R8YFK5,9606,0.0,14.405603,10.508627
A0A2R8Y6N0,9606,0.0,12.124893,11.440206
Q7Z465,9606,737837.0,11.690541,8.371174
D0VY79,9606,747315.0,13.734114,9.091817
Q9NP58,9606,801531.0,8.464837,10.034377
P40426,9606,0.0,14.246683,9.254675
F8VRD2,9606,777987.0,12.5788965,9.574061
F5H0E3,9606,0.0,10.074111,10.205766
