taxid,name,aa_dist_from_human,embedding_norm,embedding_dist_from_global,umap_dist_from_center,umap_spread,n_proteins
208964,Pseudomona,0.06748220120644766,6.8618565,1.5591185092926025,5.143922171500623,1.415192016379816,913
83332,Mycobacter,0.09213195635712919,7.112954,1.4622548818588257,4.5414950105852405,1.588496455191956,2061
83333,Escherichi,0.05510596669940606,6.8886657,1.5418195724487305,4.478149243155755,1.9227229392512415,3402
36329,Plasmodium,0.12333699200339496,8.1453085,1.6869040727615356,3.4044137310793565,5.358246270410317,1040
185431,Trypanosom,0.03400443689364159,8.515197,1.6856672763824463,2.6280422239473933,2.9382137258393204,5179
39947,Oryza,0.03651326447311298,7.6300564,0.7572826147079468,1.9954230363412044,3.7274529508198824,1311
44689,Dictyostel,0.08962062306083604,7.8513646,1.2085798978805542,1.857986231248263,2.6727760106688248,1699
8355,Xenopus,0.021544231869333248,7.550016,0.5310121178627014,1.8508263489288874,2.366462711826285,684
9031,Gallus,0.01583901198787541,7.2034497,0.6633004546165466,1.756444027601462,3.2583542895887754,1296
7955,Danio,0.015540109523578882,7.407627,0.35297825932502747,1.6777374821473803,2.6148040853339563,12601
10116,Rattus,0.006099149189104498,7.1452956,0.7177534699440002,1.6336061158367459,2.699360502457411,8767
10090,Mus,0.004687260740140224,7.280085,0.6800954937934875,1.5583724970111137,2.8721051611390154,14310
3702,Arabidopsi,0.028600948513354086,7.4254293,0.6262175440788269,1.5038595366545955,3.0427730852860813,14456
9606,Homo,0.0,7.354471,0.6871787905693054,1.474598436879359,2.745628672336445,25037
237561,Candida,0.05753568155356375,7.782809,1.0017582178115845,1.397464377318578,2.547312105218831,1490
559292,Saccharomy,0.054598303269000704,8.01328,1.0682241916656494,1.3088780499976718,2.480562247217263,5467
9823,Sus,0.014665339873963996,7.0855064,0.8632375001907349,1.2358814565786793,3.4004674963285915,507
6239,Caenorhabd,0.031042816360728552,7.8979096,0.8485478162765503,1.2293564111771023,2.73266838511211,4882
7227,Drosophila,0.024490931485177694,7.7824802,0.6531442999839783,1.2105742667190658,2.797889587443548,11876
227321,Emericella,0.03264158785090301,7.279963,0.8859291672706604,1.1628586944515487,2.6523651735625715,918
284812,Schizosacc,0.042381706399687115,7.9557467,0.9884967803955078,1.155106587608893,2.404078791203084,4631
9913,Bos,0.01791888105369315,7.2108774,0.7386376857757568,0.8367274511990563,3.224225755706549,1024
