dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression,score,rank_within_dataset_label_gene
HBCA non-neuronal,cell_type,astrocyte,astrocyte,ADORA3,155025,0.0,0.0,0.0,6
HBCA non-neuronal,cell_type,vascular associated smooth muscle cell,vascular associated smooth muscle cell,ADORA3,1074,0.0,0.0,0.0,7
HBCA non-neuronal,cell_type,Bergmann glial cell,bergmann glial cell,ADORA3,8041,0.0,0.0,0.0,8
HBCA non-neuronal,cell_type,pericyte,pericyte,ADORA3,3693,0.0,0.0,0.0,9
HBCA non-neuronal,cell_type,choroid plexus epithelial cell,choroid plexus epithelial cell,ADORA3,7689,0.0,0.0,0.0,10
HBCA non-neuronal,cell_type,oligodendrocyte precursor cell,oligodendrocyte precursor cell,ADORA3,105734,0.0,0.0,0.0,11
HBCA non-neuronal,roi,Human CEN,human cen,ADORA1,12647,37.16296354866767,0.676998496055603,19.213459748247708,1
HBCA non-neuronal,roi,Human LP-VPL,human lp-vpl,ADORA1,16179,35.144322887693924,0.5228382349014282,14.780853594146881,2
HBCA non-neuronal,roi,Human CM,human cm,ADORA1,6909,29.700390794615718,0.41670283675193787,10.345603231643604,3
HBCA non-neuronal,roi,Human VA,human va,ADORA1,4310,29.76798143851508,0.4146171808242798,10.325290812310982,4
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA1,1569,26.704907584448694,0.35882729291915894,8.188313325634532,5
HBCA non-neuronal,roi,Human MD-Re,human md-re,ADORA1,4439,26.312232484793874,0.3570623993873596,8.033713001531401,6
HBCA non-neuronal,roi,Human CoA,human coa,ADORA1,2476,26.292407108239097,0.35460421442985535,7.97999057609778,7
HBCA non-neuronal,roi,Human Cla,human cla,ADORA1,12236,24.87741091860085,0.3430042564868927,7.336574539017598,8
HBCA non-neuronal,roi,Human PN,human pn,ADORA1,15355,24.69553891240638,0.3409312963485718,7.244791210875283,9
HBCA non-neuronal,roi,Human PAG,human pag,ADORA1,17187,24.914179321580264,0.33007505536079407,7.1064052378465306,10
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA1,2478,23.930589184826474,0.3284907042980194,6.797328047131256,11
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA1,3276,23.748473748473746,0.3144078254699707,6.492505976308187,12
HBCA non-neuronal,roi,Human SN,human sn,ADORA1,50837,22.566241123591084,0.3123708963394165,6.134301962661766,13
HBCA non-neuronal,roi,Human SN-RN,human sn-rn,ADORA1,37737,21.67368895248695,0.2919415831565857,5.551632849792785,14
HBCA non-neuronal,roi,Human TH-TL,human th-tl,ADORA1,8423,21.939926392021842,0.2862400710582733,5.522790428361422,15
HBCA non-neuronal,roi,Human HTHpo,human hthpo,ADORA1,1722,21.138211382113823,0.25783970952033997,4.849015499478399,16
HBCA non-neuronal,roi,Human BM,human bm,ADORA1,4806,20.266333749479816,0.2636288106441498,4.742070594858273,17
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA1,28652,19.94974172832612,0.26717156171798706,4.723845479550056,18
HBCA non-neuronal,roi,Human IC,human ic,ADORA1,4290,19.953379953379955,0.2594405710697174,4.602598887393656,19
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA1,8333,18.58874354974199,0.28009119629859924,4.590143028385557,20
HBCA non-neuronal,roi,Human A14,human a14,ADORA1,877,19.84036488027366,0.25313568115234375,4.476957603824475,21
HBCA non-neuronal,roi,Human MoRF-MoEN,human morf-moen,ADORA1,9086,19.656614571868808,0.25038519501686096,4.392303153260968,22
HBCA non-neuronal,roi,Human MN,human mn,ADORA1,10739,18.7913213520812,0.2552379071712494,4.271739420504767,23
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA1,24394,19.32032467000082,0.24157579243183136,4.180558382414312,24
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA1,814,18.42751842751843,0.2506142556667328,4.121035045723493,25
HBCA non-neuronal,roi,Human Idg,human idg,ADORA1,3241,19.376735575439678,0.2366553544998169,4.115820941059267,26
HBCA non-neuronal,roi,Human HTHso-HTHtub,human hthso-hthtub,ADORA1,1247,19.0056134723336,0.24057738482952118,4.097171314228867,27
HBCA non-neuronal,roi,Human A35-36,human a35-36,ADORA1,72,18.055555555555554,0.25,4.028980787617676,28
HBCA non-neuronal,roi,Human V2,human v2,ADORA1,2982,18.947015425888665,0.2327297180891037,3.9643028597608705,29
HBCA non-neuronal,roi,Human Pir,human pir,ADORA1,4755,18.46477392218717,0.23722396790981293,3.9305989054747488,30
HBCA non-neuronal,roi,Human V1C,human v1c,ADORA1,2872,18.419220055710305,0.23433147370815277,3.8777893117513917,31
HBCA non-neuronal,roi,Human SI,human si,ADORA1,4835,18.221302998965875,0.2361944168806076,3.863602119822514,32
HBCA non-neuronal,roi,Human A32,human a32,ADORA1,2016,18.055555555555554,0.2375992089509964,3.848963825356142,33
HBCA non-neuronal,roi,Human PAG-DR,human pag-dr,ADORA1,3406,18.408690546095126,0.23253083229064941,3.8486983546628566,34
HBCA non-neuronal,roi,Human Sub,human sub,ADORA1,13773,18.50722427938721,0.22950699925422668,3.823838227345401,35
HBCA non-neuronal,roi,Human CaB,human cab,ADORA1,2787,18.119842124147826,0.23286688327789307,3.7932486412754804,36
HBCA non-neuronal,roi,Human S1C,human s1c,ADORA1,2726,17.828319882611883,0.2281731516122818,3.664215768346,37
HBCA non-neuronal,roi,Human A38,human a38,ADORA1,3165,17.44075829383886,0.22843602299690247,3.5882936027903796,38
HBCA non-neuronal,roi,Human Ig,human ig,ADORA1,3617,17.721868952170308,0.22145424783229828,3.5451208609500577,39
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA1,1948,17.813141683778234,0.2197125256061554,3.5379606309943203,40
HBCA non-neuronal,roi,Human STG,human stg,ADORA1,13196,17.66444377083965,0.22127917408943176,3.5311013385887136,41
HBCA non-neuronal,roi,Human A43,human a43,ADORA1,3796,17.2550052687039,0.22049525380134583,3.43817578983779,42
HBCA non-neuronal,roi,Human PnRF,human pnrf,ADORA1,33322,17.465938419062482,0.21535322070121765,3.4064649534973426,43
HBCA non-neuronal,roi,Human LEC,human lec,ADORA1,2878,17.19944405837387,0.2168172299861908,3.3751952002076977,44
HBCA non-neuronal,roi,Human Pro,human pro,ADORA1,2760,16.992753623188406,0.2188405841588974,3.362867064088208,45
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA1,3218,16.407706650093225,0.22498446702957153,3.329585784976745,46
HBCA non-neuronal,roi,Human MTG,human mtg,ADORA1,22134,17.186229330441854,0.21003885567188263,3.2765970927781405,47
HBCA non-neuronal,roi,Human ITG,human itg,ADORA1,2911,17.073170731707318,0.21092407405376434,3.2675277071610163,48
HBCA non-neuronal,roi,Human A24,human a24,ADORA1,3653,16.589104845332603,0.21708184480667114,3.259030226993624,49
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA1,19743,16.60841817352986,0.2071113884449005,3.1262062603024443,50
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA1,17491,16.865816705734378,0.2018180787563324,3.10053544003864,51
HBCA non-neuronal,roi,Human A5-A7,human a5-a7,ADORA1,2758,16.533720087019578,0.20050761103630066,3.021446022688654,52
HBCA non-neuronal,roi,Human MD,human md,ADORA1,3396,16.28386336866902,0.20376914739608765,3.019966063723838,53
HBCA non-neuronal,roi,Human HTHso,human hthso,ADORA1,3013,16.495187520743446,0.19980086386203766,3.0046907179584954,54
HBCA non-neuronal,roi,Human BL,human bl,ADORA1,4596,16.166231505657095,0.20213228464126587,2.9761528435569287,55
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA1,14520,15.702479338842975,0.20847107470035553,2.9733584578088936,56
HBCA non-neuronal,roi,Human NAC,human nac,ADORA1,2720,15.992647058823529,0.20110294222831726,2.9304966961853345,57
HBCA non-neuronal,roi,Human FI,human fi,ADORA1,2338,15.953806672369547,0.2001710832118988,2.9109972309125287,58
HBCA non-neuronal,roi,Human ANC,human anc,ADORA1,6272,15.768494897959185,0.1997767835855484,2.8720031095123852,59
HBCA non-neuronal,roi,Human A46,human a46,ADORA1,3136,15.752551020408163,0.19228316843509674,2.7704026892337943,60
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA1,13331,15.28767534318506,0.1957092434167862,2.732511729243837,61
HBCA non-neuronal,roi,Human CMN,human cmn,ADORA1,3966,15.456379223398892,0.19238527119159698,2.7196384972563794,62
HBCA non-neuronal,roi,Human HTHtub,human hthtub,ADORA1,2166,15.189289012003693,0.19252078235149384,2.674368564968048,63
HBCA non-neuronal,roi,Human A19,human a19,ADORA1,2886,15.315315315315313,0.18988218903541565,2.662633445048024,64
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA1,2607,15.304948216340621,0.1860375851392746,2.6112995131638086,65
HBCA non-neuronal,roi,Human Pu,human pu,ADORA1,3675,15.292517006802722,0.18557822704315186,2.6032545120570347,66
HBCA non-neuronal,roi,Human BNST,human bnst,ADORA1,3656,15.289934354485776,0.18490153551101685,2.594085350521902,67
HBCA non-neuronal,roi,Human PB,human pb,ADORA1,8575,14.96209912536443,0.18425655364990234,2.5303183383544696,68
HBCA non-neuronal,roi,Human A25,human a25,ADORA1,2663,14.570033796470147,0.1798723191022873,2.4099743389906667,69
HBCA non-neuronal,roi,Human A44-A45,human a44-a45,ADORA1,2555,14.403131115459884,0.1776908040046692,2.355712397131448,70
HBCA non-neuronal,roi,Human A40,human a40,ADORA1,3050,13.967213114754099,0.18163934350013733,2.3311662574830954,71
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA1,1185,13.755274261603375,0.17468354105949402,2.2145824374527154,72
HBCA non-neuronal,roi,Human Pul,human pul,ADORA1,15945,13.759799310128567,0.1673251837491989,2.128846852199019,73
HBCA non-neuronal,roi,Human PTR,human ptr,ADORA1,2285,13.522975929978118,0.16849015653133392,2.105695726062009,74
HBCA non-neuronal,roi,Human MG,human mg,ADORA1,3691,13.790300731509076,0.16255757212638855,2.0771279400272236,75
HBCA non-neuronal,roi,Human MEC,human mec,ADORA1,3480,13.620689655172413,0.16379310190677643,2.0660486714816986,76
HBCA non-neuronal,roi,Human AON,human aon,ADORA1,1967,13.37061514997458,0.16370107233524323,2.0270588702513024,77
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA1,4448,13.534172661870503,0.15962229669094086,2.0043344462514296,78
HBCA non-neuronal,roi,Human La,human la,ADORA1,4420,13.416289592760181,0.15882353484630585,1.9776321437062747,79
HBCA non-neuronal,roi,Human ETH,human eth,ADORA1,2048,13.0859375,0.1591796875,1.9329577077508597,80
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA1,33090,13.00090661831369,0.15418554842472076,1.864264255128294,81
HBCA non-neuronal,roi,Human SC,human sc,ADORA1,2741,12.769062385990516,0.15505290031433105,1.8406111062387092,82
HBCA non-neuronal,roi,Human PnAN,human pnan,ADORA1,9651,12.610092218422961,0.15169411897659302,1.7809738311454029,83
HBCA non-neuronal,roi,Human HTHpo-HTHso,human hthpo-hthso,ADORA1,2019,12.67954432887568,0.1505695879459381,1.7783962896314909,84
HBCA non-neuronal,roi,Human TF,human tf,ADORA1,2486,12.711182622687048,0.1484312117099762,1.7591876007685407,85
HBCA non-neuronal,roi,Human M1C,human m1c,ADORA1,6320,12.68987341772152,0.1460442990064621,1.7298362475460216,86
HBCA non-neuronal,roi,Human LG,human lg,ADORA1,8595,12.635253054101222,0.14659686386585236,1.7284812178352487,87
HBCA non-neuronal,roi,Human VLN,human vln,ADORA1,12582,12.39866475917978,0.1490224152803421,1.7223172088210807,88
HBCA non-neuronal,roi,Human A13,human a13,ADORA1,2279,12.373848179025888,0.14831066131591797,1.7112026308873627,89
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA1,17133,11.801786026965505,0.14539194107055664,1.6020556911222839,90
HBCA non-neuronal,roi,Human VPL,human vpl,ADORA1,4553,12.189764990116407,0.13771140575408936,1.5727077028744227,91
HBCA non-neuronal,roi,Human SpC,human spc,ADORA1,18152,11.849933891582195,0.14136183261871338,1.5668236116981964,92
HBCA non-neuronal,roi,Human HTHma,human hthma,ADORA1,1074,12.104283054003725,0.1378026008605957,1.5626491337031638,93
HBCA non-neuronal,roi,Human RN,human rn,ADORA1,2973,12.008072653884964,0.13622602820396423,1.5335782049055953,94
HBCA non-neuronal,roi,Human A23,human a23,ADORA1,2409,11.124948111249482,0.1390618532896042,1.4485237341917103,95
HBCA non-neuronal,roi,Human CA1R-CA2R-CA3R,human ca1r-ca2r-ca3r,ADORA1,7010,11.01283880171184,0.12667617201805115,1.313521740158217,96
HBCA non-neuronal,roi,Human DTg,human dtg,ADORA1,8080,10.594059405940595,0.11955445259809494,1.1963955613645425,97
HBCA non-neuronal,roi,Human SEP,human sep,ADORA1,20296,9.859085534095389,0.12746353447437286,1.1827989275428965,98
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA1,32242,9.059611686619936,0.12046398967504501,1.0304662888040623,99
HBCA non-neuronal,roi,Human IO,human io,ADORA1,11015,9.58692691783931,0.11012256145477295,1.0015503291086167,100
HBCA non-neuronal,roi,Human STH,human sth,ADORA1,19559,9.60683061506212,0.10920803993940353,0.9957122860639036,101
HBCA non-neuronal,roi,Human PnEN,human pnen,ADORA1,22144,9.524024566473988,0.10996206849813461,0.9936018841846609,102
HBCA non-neuronal,roi,Human HTHma-HTHtub,human hthma-hthtub,ADORA1,2211,9.226594301221166,0.1022161915898323,0.8979586617624495,103
HBCA non-neuronal,roi,Human A29-A30,human a29-a30,ADORA1,2427,9.147095179233622,0.10053563863039017,0.8762643271475269,104
HBCA non-neuronal,roi,Human LP,human lp,ADORA1,13608,8.715461493239271,0.09619341790676117,0.8004597875482569,105
HBCA non-neuronal,roi,Human MoAN,human moan,ADORA1,11580,7.340241796200346,0.0854058712720871,0.6015621170695047,106
HBCA non-neuronal,roi,Human CA1U-CA2U-CA3U,human ca1u-ca2u-ca3u,ADORA1,5917,7.250295757985466,0.0816292017698288,0.5689192861569643,107
HBCA non-neuronal,roi,Human MoSR,human mosr,ADORA1,6454,5.469476293771304,0.06290672719478607,0.3336782580280539,108
HBCA non-neuronal,roi,Human CaB,human cab,ADORA2A,2787,3.803372802296376,0.041980624198913574,0.1564074246141504,1
HBCA non-neuronal,roi,Human Pu,human pu,ADORA2A,3675,3.6734693877551026,0.03891156613826752,0.14022952932683289,2
HBCA non-neuronal,roi,Human VA,human va,ADORA2A,4310,2.2273781902552203,0.0236658938229084,0.052098816477321654,3
HBCA non-neuronal,roi,Human NAC,human nac,ADORA2A,2720,2.1323529411764706,0.02242647111415863,0.04729280649198303,4
HBCA non-neuronal,roi,Human HTHpo,human hthpo,ADORA2A,1722,1.5679442508710801,0.01684088259935379,0.02618568377022354,5
HBCA non-neuronal,roi,Human ANC,human anc,ADORA2A,6272,1.3392857142857142,0.016262754797935486,0.0216052669390166,6
HBCA non-neuronal,roi,Human CM,human cm,ADORA2A,6909,1.3026487190620928,0.014039658010005951,0.018161547808572164,7
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA2A,1185,1.2658227848101267,0.012658228166401386,0.015922509520482898,8
HBCA non-neuronal,roi,Human MD-Re,human md-re,ADORA2A,4439,1.1489074115791844,0.013066005893051624,0.014914405960270037,9
HBCA non-neuronal,roi,Human CEN,human cen,ADORA2A,12647,1.0911678658970507,0.011860520578920841,0.012865672076507342,10
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA2A,3218,1.0876320696084525,0.011187072843313217,0.012099863652595466,11
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA2A,17133,0.9922372030584252,0.011206443421542645,0.011057606931632994,12
HBCA non-neuronal,roi,Human LG,human lg,ADORA2A,8595,1.0122164048865618,0.010587550699710846,0.010660556972452518,13
HBCA non-neuronal,roi,Human SI,human si,ADORA2A,4835,0.9720785935884179,0.010961737483739853,0.010597691341598292,14
HBCA non-neuronal,roi,Human LP-VPL,human lp-vpl,ADORA2A,16179,0.9580320168119166,0.010816490277647972,0.010306901694015339,15
HBCA non-neuronal,roi,Human TH-TL,human th-tl,ADORA2A,8423,0.9379081087498516,0.009972693398594856,0.009307138141335913,16
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA2A,3276,0.9462759462759462,0.00976801011711359,0.00919838086101368,17
HBCA non-neuronal,roi,Human PN,human pn,ADORA2A,15355,0.9247802018886355,0.009833930060267448,0.00904979885656111,18
HBCA non-neuronal,roi,Human HTHso,human hthso,ADORA2A,3013,0.9293063391968137,0.009624958969652653,0.00890176422009849,19
HBCA non-neuronal,roi,Human MD,human md,ADORA2A,3396,0.8539458186101295,0.010306242853403091,0.008755929727935234,20
HBCA non-neuronal,roi,Human CA1R-CA2R,human ca1r-ca2r,ADORA2A,1569,0.8922880815806247,0.009560229256749153,0.008489959997524485,21
HBCA non-neuronal,roi,Human A32,human a32,ADORA2A,2016,0.8928571428571428,0.009424603544175625,0.00837541879603395,22
HBCA non-neuronal,roi,Human FI,human fi,ADORA2A,2338,0.8554319931565441,0.009837468154728413,0.008374161920148315,23
HBCA non-neuronal,roi,Human V2,human v2,ADORA2A,2982,0.8383635144198525,0.009389671497046947,0.007835230174816738,24
HBCA non-neuronal,roi,Human CA1-3,human ca1-3,ADORA2A,814,0.85995085995086,0.008599508553743362,0.007363538554249414,25
HBCA non-neuronal,roi,Human MoRF-MoEN,human morf-moen,ADORA2A,9086,0.8254457406999779,0.008914814330637455,0.00732608846349819,26
HBCA non-neuronal,roi,Human V1C,human v1c,ADORA2A,2872,0.8356545961002786,0.008704734966158867,0.007242674536117315,27
HBCA non-neuronal,roi,Human SC,human sc,ADORA2A,2741,0.7661437431594309,0.00948558934032917,0.007233073916997957,28
HBCA non-neuronal,roi,Human BM,human bm,ADORA2A,4806,0.8114856429463172,0.008531003259122372,0.00689342438187923,29
HBCA non-neuronal,roi,Human Pul,human pul,ADORA2A,15945,0.783944810285356,0.008654750883579254,0.006755654772648777,30
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA2A,19743,0.8002836448361444,0.008458694443106651,0.0067408852981505835,31
HBCA non-neuronal,roi,Human A24,human a24,ADORA2A,3653,0.8212428141253765,0.008212428539991379,0.006716854677201602,32
HBCA non-neuronal,roi,Human A19,human a19,ADORA2A,2886,0.693000693000693,0.009009009227156639,0.006215294663174145,33
HBCA non-neuronal,roi,Human A14,human a14,ADORA2A,877,0.6841505131128849,0.009122006595134735,0.006212532993115046,34
HBCA non-neuronal,roi,Human CoA,human coa,ADORA2A,2476,0.7269789983844911,0.007673667278140783,0.005557299683516158,35
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA2A,28652,0.7259528130671506,0.007573642302304506,0.00547739111726885,36
HBCA non-neuronal,roi,Human A35r,human a35r,ADORA2A,17491,0.7089360242410383,0.007661082781851292,0.0054105187149175015,37
HBCA non-neuronal,roi,Human Pir,human pir,ADORA2A,4755,0.7150368033648791,0.007570977788418531,0.005393137757128143,38
HBCA non-neuronal,roi,Human IC,human ic,ADORA2A,4290,0.7226107226107227,0.007459207437932491,0.005370099739701319,39
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA2A,14520,0.6955922865013774,0.007713498547673225,0.005344862695418317,40
HBCA non-neuronal,roi,Human Cla,human cla,ADORA2A,12236,0.6783262504086303,0.00776397529989481,0.005246168941555381,41
HBCA non-neuronal,roi,Human A13,human a13,ADORA2A,2279,0.7020623080298377,0.007459411863237619,0.005217536137165374,42
HBCA non-neuronal,roi,Human SN-RN,human sn-rn,ADORA2A,37737,0.7048785012057133,0.00741977384313941,0.005210731657888943,43
HBCA non-neuronal,roi,Human ITG,human itg,ADORA2A,2911,0.7214015802129852,0.007214015815407038,0.00518552060309586,44
HBCA non-neuronal,roi,Human ETH,human eth,ADORA2A,2048,0.68359375,0.00732421875,0.004988543787399799,45
HBCA non-neuronal,roi,Human A35-A36,human a35-a36,ADORA2A,1948,0.6673511293634496,0.00718685844913125,0.004779005580711399,46
HBCA non-neuronal,roi,Human A1C,human a1c,ADORA2A,2607,0.6904487917146145,0.00690448796376586,0.004750813214169685,47
HBCA non-neuronal,roi,Human SN,human sn,ADORA2A,50837,0.6530676475795189,0.007101126946508884,0.004621128011908391,48
HBCA non-neuronal,roi,Human SpC,human spc,ADORA2A,18152,0.6665932128691053,0.006941383704543114,0.004611094029534269,49
HBCA non-neuronal,roi,Human BL,human bl,ADORA2A,4596,0.6309834638816362,0.007180156651884317,0.004514372490014464,50
HBCA non-neuronal,roi,Human CA1U,human ca1u,ADORA2A,24394,0.6517996228580798,0.0068869395181536674,0.004473517778326115,51
HBCA non-neuronal,roi,Human MN,human mn,ADORA2A,10739,0.6518297793090605,0.00661141611635685,0.00429533438111341,52
HBCA non-neuronal,roi,Human Gpe,human gpe,ADORA2A,2478,0.645682001614205,0.006456819828599691,0.0041556505985826005,53
HBCA non-neuronal,roi,Human PTR,human ptr,ADORA2A,2285,0.612691466083151,0.0065645514987409115,0.0040089007136991815,54
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA2A,8333,0.6120244809792391,0.006480259355157614,0.003953282011870239,55
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA2A,13331,0.6076063311079438,0.0064511289820075035,0.003907157530509828,56
HBCA non-neuronal,roi,Human A43,human a43,ADORA2A,3796,0.6059009483667017,0.006322444882243872,0.003818716219247356,57
HBCA non-neuronal,roi,Human PAG,human pag,ADORA2A,17187,0.605108512247629,0.0061674523167312145,0.003720516598405166,58
HBCA non-neuronal,roi,Human PnRF,human pnrf,ADORA2A,33322,0.5881999879959185,0.0063021425157785416,0.0036952882276999077,59
HBCA non-neuronal,roi,Human HTHtub,human hthtub,ADORA2A,2166,0.6001846722068329,0.006001846864819527,0.0035914495767583295,60
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA2A,33090,0.5893019038984587,0.006104563362896442,0.0035864949233721808,61
HBCA non-neuronal,roi,Human CA1C-CA3C,human ca1c-ca3c,ADORA2A,4448,0.5845323741007195,0.006070144008845091,0.0035374700414862164,62
